,name,jfactor,profile,ch,mass,quantile,sigma_v
1000,RetII,2.070114140326317,Einasto,W,100,0.05,1.3350886680812752e-23
1001,RetII,2.070114140326317,Einasto,W,100,0.32,2.1584500427719758e-23
1002,RetII,2.070114140326317,Einasto,W,100,0.5,2.662653220795985e-23
1003,RetII,2.070114140326317,Einasto,W,100,0.68,3.265444790324237e-23
1004,RetII,2.070114140326317,Einasto,W,100,0.95,4.8140423332308893e-23
1005,RetII,2.070114140326317,Einasto,W,200,0.05,2.1336289371522364e-24
1006,RetII,2.070114140326317,Einasto,W,200,0.32,3.4386021651810735e-24
1007,RetII,2.070114140326317,Einasto,W,200,0.5,4.211697235417722e-24
1008,RetII,2.070114140326317,Einasto,W,200,0.68,5.1407493749992225e-24
1009,RetII,2.070114140326317,Einasto,W,200,0.95,7.426660814364691e-24
1010,RetII,2.070114140326317,Einasto,W,500,0.05,1.2888182708158595e-24
1011,RetII,2.070114140326317,Einasto,W,500,0.32,2.0856252903483752e-24
1012,RetII,2.070114140326317,Einasto,W,500,0.5,2.587840961511625e-24
1013,RetII,2.070114140326317,Einasto,W,500,0.68,3.202346636330573e-24
1014,RetII,2.070114140326317,Einasto,W,500,0.95,4.858018504985697e-24
1015,RetII,2.070114140326317,Einasto,W,1000,0.05,1.3498669181386404e-24
1016,RetII,2.070114140326317,Einasto,W,1000,0.32,2.1809216129109517e-24
1017,RetII,2.070114140326317,Einasto,W,1000,0.5,2.6697339842209673e-24
1018,RetII,2.070114140326317,Einasto,W,1000,0.68,3.2415650594849828e-24
1019,RetII,2.070114140326317,Einasto,W,1000,0.95,4.948360515888243e-24
1020,RetII,2.070114140326317,Einasto,W,5000,0.05,2.2707597391295903e-24
1021,RetII,2.070114140326317,Einasto,W,5000,0.32,3.658822740997759e-24
1022,RetII,2.070114140326317,Einasto,W,5000,0.5,4.5029909359847946e-24
1023,RetII,2.070114140326317,Einasto,W,5000,0.68,5.5067601796299606e-24
1024,RetII,2.070114140326317,Einasto,W,5000,0.95,8.204094062320751e-24
1025,RetII,2.070114140326317,Einasto,W,10000,0.05,3.1823301275951823e-24
1026,RetII,2.070114140326317,Einasto,W,10000,0.32,5.2099013469362175e-24
1027,RetII,2.070114140326317,Einasto,W,10000,0.5,6.4518994406551525e-24
1028,RetII,2.070114140326317,Einasto,W,10000,0.68,7.888198870581055e-24
1029,RetII,2.070114140326317,Einasto,W,10000,0.95,1.1824584667269348e-23
1030,RetII,2.070114140326317,Einasto,W,50000,0.05,1.1933856795922076e-23
