,src1,src2,src3,src4,src5,src6,src7,src8,profile,ch,mass,quantile,sigma_v
44,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,70,0.95,6.4920742614076565e-24
45,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100,0.05,8.851632337878905e-25
46,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100,0.32,1.2150510501415942e-24
47,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100,0.5,1.3703610744621712e-24
48,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100,0.68,1.5328205262123723e-24
49,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100,0.95,2.3202502677832137e-24
50,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,200,0.05,2.40504420768995e-25
51,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,200,0.32,3.274876087512433e-25
52,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,200,0.5,3.665643708525256e-25
53,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,200,0.68,4.0879934435086617e-25
54,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,200,0.95,5.992059800228577e-25
55,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,500,0.05,1.1306766616097357e-25
56,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,500,0.32,1.4891926512826335e-25
57,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,500,0.5,1.6751991130782183e-25
58,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,500,0.68,1.88208746637875e-25
59,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,500,0.95,2.6636522201204456e-25
60,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,1000,0.05,1.0046855945784902e-25
61,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,1000,0.32,1.3555423795810003e-25
62,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,1000,0.5,1.5238913872972638e-25
63,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,1000,0.68,1.6967707875023036e-25
64,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,1000,0.95,2.355360344363049e-25
65,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,5000,0.05,1.7558059418203206e-25
66,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,5000,0.32,2.362998924749837e-25
67,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,5000,0.5,2.6276435946482046e-25
68,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,5000,0.68,2.9445659461415536e-25
69,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,5000,0.95,4.309023939544774e-25
70,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,10000,0.05,2.422491430336215e-25
71,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,10000,0.32,3.307756385801248e-25
72,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,10000,0.5,3.688160533584268e-25
73,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,10000,0.68,4.159144515215523e-25
74,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,10000,0.95,6.085302416394871e-25
75,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,50000,0.05,5.895560918466681e-25
76,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,50000,0.32,8.65630054413181e-25
77,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,50000,0.5,1.0084966898837218e-24
78,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,50000,0.68,1.1631277022612987e-24
79,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,50000,0.95,1.847384330926945e-24
80,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100000,0.05,9.896604351999529e-25
81,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100000,0.32,1.4221707555933208e-24
82,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100000,0.5,1.711178810379084e-24
83,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100000,0.68,1.987815416225221e-24
84,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,b,100000,0.95,3.19595973825822e-24
85,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,70,0.05,1.4686720775889738e-25
86,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,70,0.32,2.0180564252466013e-25
87,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,70,0.5,2.268101197039878e-25
88,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,70,0.68,2.5535656468599702e-25
89,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,70,0.95,3.710331693111644e-25
90,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100,0.05,9.399371145639126e-26
91,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100,0.32,1.3233667599568215e-25
92,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100,0.5,1.4859039497676178e-25
93,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100,0.68,1.6440881994264999e-25
94,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100,0.95,2.3340226485538874e-25
95,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,200,0.05,8.800486913791692e-26
96,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,200,0.32,1.2483142899407335e-25
97,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,200,0.5,1.4228817025090736e-25
98,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,200,0.68,1.6127002590904774e-25
99,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,200,0.95,2.25388711849807e-25
100,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,500,0.05,1.1495325938347069e-25
101,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,500,0.32,1.5965628479254914e-25
102,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,500,0.5,1.8436858684197429e-25
103,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,500,0.68,2.1088442593638267e-25
104,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,500,0.95,3.1025401117315912e-25
105,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,1000,0.05,1.3834782103213996e-25
106,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,1000,0.32,2.0133625504052104e-25
107,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,1000,0.5,2.3490744651275016e-25
108,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,1000,0.68,2.6765538898904568e-25
109,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,1000,0.95,3.813305951006253e-25
110,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,5000,0.05,2.7894773439425167e-25
111,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,5000,0.32,4.333192367948493e-25
112,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,5000,0.5,5.173017207036125e-25
113,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,5000,0.68,5.932931345073041e-25
114,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,5000,0.95,9.6406607711201e-25
115,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,10000,0.05,4.7341820837041955e-25
116,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,10000,0.32,7.379782423160365e-25
117,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,10000,0.5,8.801192624317038e-25
118,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,10000,0.68,1.0313379195062056e-24
119,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,10000,0.95,1.7459600553101394e-24
120,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,50000,0.05,2.828995559381601e-24
121,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,50000,0.32,4.2794736490236916e-24
122,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,50000,0.5,5.1136553267269714e-24
123,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,50000,0.68,6.09510576066121e-24
124,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,50000,0.95,1.0149419392617913e-23
125,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100000,0.05,7.622702643625316e-24
126,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100000,0.32,1.1900907121987141e-23
127,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100000,0.5,1.3956519477986686e-23
128,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100000,0.68,1.5998506051423016e-23
129,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,mu,100000,0.95,2.6019361626787202e-23
130,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,70,0.05,8.347235749477664e-26
131,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,70,0.32,1.1306253307613515e-25
132,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,70,0.5,1.2671070881542959e-25
133,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,70,0.68,1.3906047056406565e-25
134,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,70,0.95,1.9436733592607944e-25
