name,jfactor,profile,ch,mass,sigma_v
Scl,0.26585967012749673,Einasto,b,70,6.2165204693498335e-22
Scl,0.26585967012749673,Einasto,b,100,2.453925824842923e-22
Scl,0.26585967012749673,Einasto,b,500,2.9493857713674837e-23
Scl,0.26585967012749673,Einasto,b,5000,3.941828964761346e-23
Scl,0.26585967012749673,Einasto,b,7000,4.260381963325161e-23
Scl,0.26585967012749673,Einasto,b,10000,5.273519788210607e-23
Scl,0.26585967012749673,Einasto,b,20000,5.014565395640527e-23
Scl,0.26585967012749673,Einasto,b,30000,5.210684866465296e-23
Scl,0.26585967012749673,Einasto,b,50000,6.355546458907525e-23
Scl,0.26585967012749673,Einasto,b,100000,8.790827202946305e-23
Scl,0.26585967012749673,Einasto,b,70,2.266105603208398e-22
Scl,0.26585967012749673,Einasto,b,100,7.92522479804331e-23
Scl,0.26585967012749673,Einasto,b,200,2.259687553358343e-23
Scl,0.26585967012749673,Einasto,b,500,1.1458592025498988e-23
Scl,0.26585967012749673,Einasto,b,800,1.1756128538732203e-23
Scl,0.26585967012749673,Einasto,b,1000,1.2411470769794287e-23
Scl,0.26585967012749673,Einasto,b,2000,1.576829731071408e-23
Scl,0.26585967012749673,Einasto,b,3000,1.8677655854198367e-23
Scl,0.26585967012749673,Einasto,b,5000,2.1866879232500993e-23
Scl,0.26585967012749673,Einasto,b,7000,2.5397730824186972e-23
Scl,0.26585967012749673,Einasto,b,10000,2.955769156073115e-23
Scl,0.26585967012749673,Einasto,b,20000,3.7893349344203693e-23
Scl,0.26585967012749673,Einasto,b,30000,4.2541776424562605e-23
Scl,0.26585967012749673,Einasto,b,50000,5.046818759988699e-23
Scl,0.26585967012749673,Einasto,b,100000,7.75751425902935e-23
Scl,0.26585967012749673,Einasto,b,70,3.366959464552777e-22
Scl,0.26585967012749673,Einasto,b,100,1.552582044211724e-22
Scl,0.26585967012749673,Einasto,b,200,4.7760728434259194e-23
Scl,0.26585967012749673,Einasto,b,500,2.220735776915969e-23
Scl,0.26585967012749673,Einasto,b,800,1.703039973205525e-23
