,name,jfactor,profile,ch,mass,quantile,sigma_v
2089,SgrII,1.070590976633129,Einasto,b,100,0.95,6.340598076001346e-23
2090,SgrII,1.070590976633129,Einasto,b,200,0.05,4.42884069859512e-24
2091,SgrII,1.070590976633129,Einasto,b,200,0.32,7.1787937561748e-24
2092,SgrII,1.070590976633129,Einasto,b,200,0.5,8.965268408999939e-24
2093,SgrII,1.070590976633129,Einasto,b,200,0.68,1.104630185323135e-23
2094,SgrII,1.070590976633129,Einasto,b,200,0.95,1.6939881102272905e-23
2095,SgrII,1.070590976633129,Einasto,b,500,0.05,1.9043929373811635e-24
2096,SgrII,1.070590976633129,Einasto,b,500,0.32,3.1291528305112894e-24
2097,SgrII,1.070590976633129,Einasto,b,500,0.5,3.8781246162678464e-24
2098,SgrII,1.070590976633129,Einasto,b,500,0.68,4.7840041825764365e-24
2099,SgrII,1.070590976633129,Einasto,b,500,0.95,7.078680456150554e-24
2100,SgrII,1.070590976633129,Einasto,b,1000,0.05,1.6757475907006252e-24
2101,SgrII,1.070590976633129,Einasto,b,1000,0.32,2.7645231329186955e-24
2102,SgrII,1.070590976633129,Einasto,b,1000,0.5,3.4196272368868815e-24
2103,SgrII,1.070590976633129,Einasto,b,1000,0.68,4.1903075193161894e-24
2104,SgrII,1.070590976633129,Einasto,b,1000,0.95,6.419917289950029e-24
2105,SgrII,1.070590976633129,Einasto,b,5000,0.05,2.6555990115563382e-24
2106,SgrII,1.070590976633129,Einasto,b,5000,0.32,4.418300901766863e-24
2107,SgrII,1.070590976633129,Einasto,b,5000,0.5,5.511778773569524e-24
2108,SgrII,1.070590976633129,Einasto,b,5000,0.68,6.7745051311977e-24
2109,SgrII,1.070590976633129,Einasto,b,5000,0.95,1.0627795948460785e-23
2110,SgrII,1.070590976633129,Einasto,b,10000,0.05,3.6477615863248385e-24
2111,SgrII,1.070590976633129,Einasto,b,10000,0.32,6.006835102947356e-24
2112,SgrII,1.070590976633129,Einasto,b,10000,0.5,7.510294673929124e-24
2113,SgrII,1.070590976633129,Einasto,b,10000,0.68,9.160474586735356e-24
2114,SgrII,1.070590976633129,Einasto,b,10000,0.95,1.4311037371119076e-23
2115,SgrII,1.070590976633129,Einasto,b,50000,0.05,9.725834951163364e-24
2116,SgrII,1.070590976633129,Einasto,b,50000,0.32,1.6044565769271574e-23
2117,SgrII,1.070590976633129,Einasto,b,50000,0.5,1.984143361115273e-23
2118,SgrII,1.070590976633129,Einasto,b,50000,0.68,2.4532518139730386e-23
2119,SgrII,1.070590976633129,Einasto,b,50000,0.95,3.666292396438178e-23
2120,SgrII,1.070590976633129,Einasto,b,100000,0.05,1.6672046514556018e-23
2121,SgrII,1.070590976633129,Einasto,b,100000,0.32,2.767424690737454e-23
2122,SgrII,1.070590976633129,Einasto,b,100000,0.5,3.4535633014769414e-23
2123,SgrII,1.070590976633129,Einasto,b,100000,0.68,4.301109173855209e-23
2124,SgrII,1.070590976633129,Einasto,b,100000,0.95,6.538882348809665e-23
2125,SgrII,1.070590976633129,Einasto,mu,70,0.05,2.84226036119082e-24
2126,SgrII,1.070590976633129,Einasto,mu,70,0.32,4.6464687035386224e-24
2127,SgrII,1.070590976633129,Einasto,mu,70,0.5,5.766483320040562e-24
2128,SgrII,1.070590976633129,Einasto,mu,70,0.68,7.107098620769567e-24
2129,SgrII,1.070590976633129,Einasto,mu,70,0.95,1.0332819795063e-23
2130,SgrII,1.070590976633129,Einasto,mu,100,0.05,1.7201289586089658e-24
2131,SgrII,1.070590976633129,Einasto,mu,100,0.32,2.802018311367077e-24
2132,SgrII,1.070590976633129,Einasto,mu,100,0.5,3.488662228500507e-24
2133,SgrII,1.070590976633129,Einasto,mu,100,0.68,4.306866402887813e-24
2134,SgrII,1.070590976633129,Einasto,mu,100,0.95,6.391999890472658e-24
2135,SgrII,1.070590976633129,Einasto,mu,200,0.05,1.530369370290684e-24
2136,SgrII,1.070590976633129,Einasto,mu,200,0.32,2.5144002582989467e-24
2137,SgrII,1.070590976633129,Einasto,mu,200,0.5,3.1131622641791924e-24
2138,SgrII,1.070590976633129,Einasto,mu,200,0.68,3.838813086179228e-24
2139,SgrII,1.070590976633129,Einasto,mu,200,0.95,5.958182164390032e-24
2140,SgrII,1.070590976633129,Einasto,mu,500,0.05,1.842574967723267e-24
2141,SgrII,1.070590976633129,Einasto,mu,500,0.32,3.07546197318784e-24
2142,SgrII,1.070590976633129,Einasto,mu,500,0.5,3.8295622303669046e-24
