,name,name2,profile,ch,mass,quantile,tau
88,CBe,Wil1,Einasto,mu,70,0.68,3.757287431394646e+24
89,CBe,Wil1,Einasto,mu,70,0.95,8.703083767055088e+24
90,CBe,Wil1,Einasto,mu,100,0.05,1.0572191357058938e+24
91,CBe,Wil1,Einasto,mu,100,0.32,2.9279730388864653e+24
92,CBe,Wil1,Einasto,mu,100,0.5,4.758818753544207e+24
93,CBe,Wil1,Einasto,mu,100,0.68,7.597796215951296e+24
94,CBe,Wil1,Einasto,mu,100,0.95,1.503606944496995e+25
95,CBe,Wil1,Einasto,mu,200,0.05,2.492748885577491e+24
96,CBe,Wil1,Einasto,mu,200,0.32,8.155647304285254e+24
97,CBe,Wil1,Einasto,mu,200,0.5,1.3363086237421445e+25
98,CBe,Wil1,Einasto,mu,200,0.68,1.7960395221612164e+25
99,CBe,Wil1,Einasto,mu,200,0.95,3.4340605030893207e+25
100,CBe,Wil1,Einasto,mu,500,0.05,4.577604511727783e+24
101,CBe,Wil1,Einasto,mu,500,0.32,1.175020470961696e+25
102,CBe,Wil1,Einasto,mu,500,0.5,1.7222454789813686e+25
103,CBe,Wil1,Einasto,mu,500,0.68,2.5520757825311098e+25
104,CBe,Wil1,Einasto,mu,500,0.95,5.7223225593045365e+25
105,CBe,Wil1,Einasto,mu,1000,0.05,4.876267026688704e+24
106,CBe,Wil1,Einasto,mu,1000,0.32,2.173437935822602e+25
107,CBe,Wil1,Einasto,mu,1000,0.5,3.259367643747071e+25
108,CBe,Wil1,Einasto,mu,1000,0.68,4.781514797102868e+25
109,CBe,Wil1,Einasto,mu,1000,0.95,1.0009954266207458e+26
110,CBe,Wil1,Einasto,mu,5000,0.05,1.500710068923738e+25
111,CBe,Wil1,Einasto,mu,5000,0.32,6.074399023825488e+25
112,CBe,Wil1,Einasto,mu,5000,0.5,9.317474419447227e+25
113,CBe,Wil1,Einasto,mu,5000,0.68,1.2791492021985032e+26
114,CBe,Wil1,Einasto,mu,5000,0.95,2.455748150001299e+26
115,CBe,Wil1,Einasto,mu,10000,0.05,1.129727983163168e+25
116,CBe,Wil1,Einasto,mu,10000,0.32,6.362228293983531e+25
117,CBe,Wil1,Einasto,mu,10000,0.5,8.821109288595174e+25
118,CBe,Wil1,Einasto,mu,10000,0.68,1.2955839966574948e+26
119,CBe,Wil1,Einasto,mu,10000,0.95,2.894362746739225e+26
120,CBe,Wil1,Einasto,mu,50000,0.05,9.608394700225692e+24
121,CBe,Wil1,Einasto,mu,50000,0.32,4.033542919884297e+25
122,CBe,Wil1,Einasto,mu,50000,0.5,6.183814372797539e+25
123,CBe,Wil1,Einasto,mu,50000,0.68,8.766548384787284e+25
124,CBe,Wil1,Einasto,mu,50000,0.95,1.649244489769971e+26
125,CBe,Wil1,Einasto,mu,100000,0.05,5.634499118551192e+24
126,CBe,Wil1,Einasto,mu,100000,0.32,2.5530342632909e+25
127,CBe,Wil1,Einasto,mu,100000,0.5,4.126293133089352e+25
128,CBe,Wil1,Einasto,mu,100000,0.68,6.0133303627624415e+25
129,CBe,Wil1,Einasto,mu,100000,0.95,1.1127851432082844e+26
130,CBe,Wil1,Einasto,tau,70,0.05,2.1211470198731464e+24
131,CBe,Wil1,Einasto,tau,70,0.32,4.973168837624514e+24
132,CBe,Wil1,Einasto,tau,70,0.5,7.686804824086127e+24
133,CBe,Wil1,Einasto,tau,70,0.68,1.1718382696621754e+25
134,CBe,Wil1,Einasto,tau,70,0.95,2.1768949394721244e+25
135,CBe,Wil1,Einasto,tau,100,0.05,3.995774692564303e+24
136,CBe,Wil1,Einasto,tau,100,0.32,1.0651914099459365e+25
137,CBe,Wil1,Einasto,tau,100,0.5,1.563319396551957e+25
138,CBe,Wil1,Einasto,tau,100,0.68,2.04249425982758e+25
139,CBe,Wil1,Einasto,tau,100,0.95,4.548496868280382e+25
140,CBe,Wil1,Einasto,tau,200,0.05,1.2794446999037018e+25
141,CBe,Wil1,Einasto,tau,200,0.32,2.772955034295105e+25
142,CBe,Wil1,Einasto,tau,200,0.5,4.355434693298466e+25
143,CBe,Wil1,Einasto,tau,200,0.68,6.360864101219053e+25
144,CBe,Wil1,Einasto,tau,200,0.95,1.3874597986825487e+26
145,CBe,Wil1,Einasto,tau,500,0.05,1.9197433251734903e+25
146,CBe,Wil1,Einasto,tau,500,0.32,6.284886227891792e+25
147,CBe,Wil1,Einasto,tau,500,0.5,9.402059022683908e+25
148,CBe,Wil1,Einasto,tau,500,0.68,1.317318012083572e+26
149,CBe,Wil1,Einasto,tau,500,0.95,2.4049908863546453e+26
150,CBe,Wil1,Einasto,tau,1000,0.05,2.1974428901939374e+25
151,CBe,Wil1,Einasto,tau,1000,0.32,6.491685520668448e+25
152,CBe,Wil1,Einasto,tau,1000,0.5,1.1230063424572685e+26
153,CBe,Wil1,Einasto,tau,1000,0.68,1.553482463300488e+26
154,CBe,Wil1,Einasto,tau,1000,0.95,3.587654093789246e+26
155,CBe,Wil1,Einasto,tau,5000,0.05,5.5306638603225336e+25
156,CBe,Wil1,Einasto,tau,5000,0.32,2.063427817100601e+26
157,CBe,Wil1,Einasto,tau,5000,0.5,3.4569127107127486e+26
158,CBe,Wil1,Einasto,tau,5000,0.68,5.17972280386473e+26
159,CBe,Wil1,Einasto,tau,5000,0.95,9.69663153328379e+26
160,CBe,Wil1,Einasto,tau,10000,0.05,8.57639913585328e+25
161,CBe,Wil1,Einasto,tau,10000,0.32,2.8580862393828725e+26
162,CBe,Wil1,Einasto,tau,10000,0.5,4.31885702015152e+26
163,CBe,Wil1,Einasto,tau,10000,0.68,6.813025825313232e+26
164,CBe,Wil1,Einasto,tau,10000,0.95,1.3056983035675047e+27
165,CBe,Wil1,Einasto,tau,50000,0.05,6.021275357468586e+25
166,CBe,Wil1,Einasto,tau,50000,0.32,2.4212121623501155e+26
167,CBe,Wil1,Einasto,tau,50000,0.5,3.5476777028261794e+26
168,CBe,Wil1,Einasto,tau,50000,0.68,5.126993963292289e+26
169,CBe,Wil1,Einasto,tau,50000,0.95,8.97006977731274e+26
170,CBe,Wil1,Einasto,tau,100000,0.05,3.8338517276710463e+25
171,CBe,Wil1,Einasto,tau,100000,0.32,1.5189665909331337e+26
172,CBe,Wil1,Einasto,tau,100000,0.5,2.52727483759275e+26
173,CBe,Wil1,Einasto,tau,100000,0.68,3.518095301431151e+26
174,CBe,Wil1,Einasto,tau,100000,0.95,6.519509283141667e+26
