,name,profile,ch,mass,quantile,sigma_v
1309,Wil1,Einasto,b,100000,0.95,1.0946691167009045e-21
1310,Wil1,Einasto,mu,70,0.05,5.712536525302579e-24
1311,Wil1,Einasto,mu,70,0.32,1.173020531001928e-23
1312,Wil1,Einasto,mu,70,0.5,1.718403194629306e-23
1313,Wil1,Einasto,mu,70,0.68,2.77812280212308e-23
1314,Wil1,Einasto,mu,70,0.95,1.6280545120426035e-22
1315,Wil1,Einasto,mu,100,0.05,4.615070917355939e-24
1316,Wil1,Einasto,mu,100,0.32,8.907568874186777e-24
1317,Wil1,Einasto,mu,100,0.5,1.2730645404579116e-23
1318,Wil1,Einasto,mu,100,0.68,1.9165296978185025e-23
1319,Wil1,Einasto,mu,100,0.95,6.724429193165117e-23
1320,Wil1,Einasto,mu,200,0.05,4.209056958063084e-24
1321,Wil1,Einasto,mu,200,0.32,8.107022838251677e-24
1322,Wil1,Einasto,mu,200,0.5,1.1928037939248136e-23
1323,Wil1,Einasto,mu,200,0.68,1.948365528918675e-23
1324,Wil1,Einasto,mu,200,0.95,1.1544082951792328e-22
1325,Wil1,Einasto,mu,500,0.05,4.75822277337215e-24
1326,Wil1,Einasto,mu,500,0.32,9.397468867022063e-24
1327,Wil1,Einasto,mu,500,0.5,1.425524367083909e-23
1328,Wil1,Einasto,mu,500,0.68,2.155885734620143e-23
1329,Wil1,Einasto,mu,500,0.95,1.0734635432620655e-22
1330,Wil1,Einasto,mu,1000,0.05,6.080241401765624e-24
1331,Wil1,Einasto,mu,1000,0.32,1.2105502581282475e-23
1332,Wil1,Einasto,mu,1000,0.5,1.7255866056012066e-23
1333,Wil1,Einasto,mu,1000,0.68,2.6029452978727886e-23
1334,Wil1,Einasto,mu,1000,0.95,1.9084534190277278e-22
1335,Wil1,Einasto,mu,5000,0.05,1.446444810587673e-23
1336,Wil1,Einasto,mu,5000,0.32,2.8826638062126717e-23
1337,Wil1,Einasto,mu,5000,0.5,4.267291891956564e-23
1338,Wil1,Einasto,mu,5000,0.68,6.372930096100332e-23
1339,Wil1,Einasto,mu,5000,0.95,3.0657062473243132e-22
1340,Wil1,Einasto,mu,10000,0.05,2.790536509181477e-23
1341,Wil1,Einasto,mu,10000,0.32,5.732543204304157e-23
1342,Wil1,Einasto,mu,10000,0.5,7.879529464932295e-23
1343,Wil1,Einasto,mu,10000,0.68,1.252445446699353e-22
1344,Wil1,Einasto,mu,10000,0.95,5.97468741353741e-22
1345,Wil1,Einasto,mu,50000,0.05,2.121566220863167e-22
1346,Wil1,Einasto,mu,50000,0.32,4.188941651345643e-22
1347,Wil1,Einasto,mu,50000,0.5,5.838719498769125e-22
1348,Wil1,Einasto,mu,50000,0.68,9.245449275715708e-22
1349,Wil1,Einasto,mu,50000,0.95,4.252142585047469e-21
1350,Wil1,Einasto,mu,100000,0.05,6.194503878191418e-22
1351,Wil1,Einasto,mu,100000,0.32,1.2796845396563652e-21
1352,Wil1,Einasto,mu,100000,0.5,1.8245829836377264e-21
1353,Wil1,Einasto,mu,100000,0.68,2.928577822710437e-21
1354,Wil1,Einasto,mu,100000,0.95,1.3116832043851817e-20
1355,Wil1,Einasto,tau,70,0.05,2.1203452536874986e-24
1356,Wil1,Einasto,tau,70,0.32,4.123045297996021e-24
1357,Wil1,Einasto,tau,70,0.5,6.120791910210523e-24
1358,Wil1,Einasto,tau,70,0.68,9.365299766782373e-24
1359,Wil1,Einasto,tau,70,0.95,5.151560358984053e-23
1360,Wil1,Einasto,tau,100,0.05,1.47636742130182e-24
1361,Wil1,Einasto,tau,100,0.32,2.6348723285604637e-24
1362,Wil1,Einasto,tau,100,0.5,3.910336664788015e-24
1363,Wil1,Einasto,tau,100,0.68,5.8207870973896096e-24
1364,Wil1,Einasto,tau,100,0.95,4.099483829019162e-23
1365,Wil1,Einasto,tau,200,0.05,1.0888487228303544e-24
1366,Wil1,Einasto,tau,200,0.32,1.9038133182080914e-24
1367,Wil1,Einasto,tau,200,0.5,2.7373420154887884e-24
1368,Wil1,Einasto,tau,200,0.68,4.094647504349149e-24
1369,Wil1,Einasto,tau,200,0.95,2.901380745293388e-23
1370,Wil1,Einasto,tau,500,0.05,1.2072203578526296e-24
1371,Wil1,Einasto,tau,500,0.32,2.33659835696197e-24
1372,Wil1,Einasto,tau,500,0.5,3.3453605039615955e-24
1373,Wil1,Einasto,tau,500,0.68,4.972607502719215e-24
1374,Wil1,Einasto,tau,500,0.95,3.250641447981682e-23
1375,Wil1,Einasto,tau,1000,0.05,1.5322840175128856e-24
1376,Wil1,Einasto,tau,1000,0.32,2.9484339771165034e-24
1377,Wil1,Einasto,tau,1000,0.5,4.129540261490034e-24
1378,Wil1,Einasto,tau,1000,0.68,6.114846052016846e-24
1379,Wil1,Einasto,tau,1000,0.95,4.13361158202266e-23
1380,Wil1,Einasto,tau,5000,0.05,3.5083596941402625e-24
1381,Wil1,Einasto,tau,5000,0.32,6.914228953021317e-24
1382,Wil1,Einasto,tau,5000,0.5,1.0058758218343923e-23
1383,Wil1,Einasto,tau,5000,0.68,1.640225743736391e-23
1384,Wil1,Einasto,tau,5000,0.95,9.127267037230297e-23
1385,Wil1,Einasto,tau,10000,0.05,5.856592347555291e-24
1386,Wil1,Einasto,tau,10000,0.32,1.1436803409542806e-23
1387,Wil1,Einasto,tau,10000,0.5,1.6589891011136872e-23
1388,Wil1,Einasto,tau,10000,0.68,2.5385254414319612e-23
1389,Wil1,Einasto,tau,10000,0.95,1.2534918559147534e-22
1390,Wil1,Einasto,tau,50000,0.05,4.154655945982822e-23
1391,Wil1,Einasto,tau,50000,0.32,8.200467944962622e-23
1392,Wil1,Einasto,tau,50000,0.5,1.1609713050568125e-22
1393,Wil1,Einasto,tau,50000,0.68,2.024552883284431e-22
1394,Wil1,Einasto,tau,50000,0.95,1.004001686078185e-21
1395,Wil1,Einasto,tau,100000,0.05,1.161437208335854e-22
1396,Wil1,Einasto,tau,100000,0.32,2.445770227495359e-22
1397,Wil1,Einasto,tau,100000,0.5,3.5430988473594125e-22
1398,Wil1,Einasto,tau,100000,0.68,5.61908684342441e-22
1399,Wil1,Einasto,tau,100000,0.95,2.4940954504591553e-21
