,name,name2,name3,name4,name5,name6,name7,name8,profile,ch,mass,quantile,sigma_v
44,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,70,0.95,4.583338946416015e-23
45,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.05,4.694721047799025e-24
46,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.32,7.50312240172157e-24
47,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.5,9.342004866838064e-24
48,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.68,1.1001718477121886e-23
49,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100,0.95,1.983307347718373e-23
50,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.05,1.7324843904838265e-24
51,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.32,2.6819271526812625e-24
52,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.5,3.171688863394953e-24
53,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.68,4.165976985678119e-24
54,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,200,0.95,8.414809676491896e-24
55,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.05,9.632825116947498e-25
56,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.32,1.5101217440111698e-24
57,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.5,1.7383920447439257e-24
58,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.68,2.3827339770288284e-24
59,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,500,0.95,5.42751590992522e-24
60,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.05,8.95569124734499e-25
61,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.32,1.4858731468633219e-24
62,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.5,1.7247734027439397e-24
