,name,profile,ch,mass,quantile,sigma_v
798,SgrII,Einasto,mu,200,0.68,1.7829522262224774e-22
799,SgrII,Einasto,mu,200,0.95,8.238324744213241e-22
800,SgrII,Einasto,mu,500,0.05,5.178972696848884e-23
801,SgrII,Einasto,mu,500,0.32,1.1042199944165075e-22
802,SgrII,Einasto,mu,500,0.5,1.6333834267509006e-22
803,SgrII,Einasto,mu,500,0.68,2.6232066248060366e-22
804,SgrII,Einasto,mu,500,0.95,1.1223396477820634e-21
805,SgrII,Einasto,mu,1000,0.05,6.206483784408238e-23
806,SgrII,Einasto,mu,1000,0.32,1.308788307952584e-22
807,SgrII,Einasto,mu,1000,0.5,1.943772008457995e-22
808,SgrII,Einasto,mu,1000,0.68,2.766645463352059e-22
809,SgrII,Einasto,mu,1000,0.95,1.333660833554293e-21
810,SgrII,Einasto,mu,5000,0.05,1.362119205096594e-22
811,SgrII,Einasto,mu,5000,0.32,2.7389465329737e-22
812,SgrII,Einasto,mu,5000,0.5,3.9844570920280902e-22
813,SgrII,Einasto,mu,5000,0.68,6.989792023982809e-22
814,SgrII,Einasto,mu,5000,0.95,4.577977519203584e-21
815,SgrII,Einasto,mu,10000,0.05,2.401965812437876e-22
816,SgrII,Einasto,mu,10000,0.32,4.89397632908666e-22
817,SgrII,Einasto,mu,10000,0.5,7.567572425073362e-22
818,SgrII,Einasto,mu,10000,0.68,1.3835753459118889e-21
819,SgrII,Einasto,mu,10000,0.95,1.2841424171965423e-20
820,SgrII,Einasto,mu,50000,0.05,1.4324090341499804e-21
821,SgrII,Einasto,mu,50000,0.32,3.0538777756406495e-21
822,SgrII,Einasto,mu,50000,0.5,4.6935642997973744e-21
823,SgrII,Einasto,mu,50000,0.68,7.932890089391816e-21
824,SgrII,Einasto,mu,50000,0.95,6.566816275191457e-20
825,SgrII,Einasto,mu,100000,0.05,4.082559815146562e-21
826,SgrII,Einasto,mu,100000,0.32,8.481610725429457e-21
827,SgrII,Einasto,mu,100000,0.5,1.3037199819941307e-20
828,SgrII,Einasto,mu,100000,0.68,2.0195251416632475e-20
829,SgrII,Einasto,mu,100000,0.95,2.0211692828688832e-19
830,SgrII,Einasto,tau,70,0.05,4.639911492375723e-23
831,SgrII,Einasto,tau,70,0.32,9.469041576765454e-23
832,SgrII,Einasto,tau,70,0.5,1.370043084671106e-22
833,SgrII,Einasto,tau,70,0.68,2.1253773417623735e-22
834,SgrII,Einasto,tau,70,0.95,9.215165268404098e-22
835,SgrII,Einasto,tau,100,0.05,1.9609464961922445e-23
836,SgrII,Einasto,tau,100,0.32,4.419252440501966e-23
837,SgrII,Einasto,tau,100,0.5,6.471070881859069e-23
838,SgrII,Einasto,tau,100,0.68,1.073318199158343e-22
839,SgrII,Einasto,tau,100,0.95,4.855620423048496e-22
840,SgrII,Einasto,tau,200,0.05,1.1194353533820898e-23
841,SgrII,Einasto,tau,200,0.32,2.3409634213031e-23
842,SgrII,Einasto,tau,200,0.5,3.6023599329088213e-23
843,SgrII,Einasto,tau,200,0.68,7.191429342608046e-23
844,SgrII,Einasto,tau,200,0.95,6.490127628230752e-22
845,SgrII,Einasto,tau,500,0.05,1.2369718000307281e-23
846,SgrII,Einasto,tau,500,0.32,2.4392369918649532e-23
847,SgrII,Einasto,tau,500,0.5,3.462193417414546e-23
848,SgrII,Einasto,tau,500,0.68,5.840834774877146e-23
849,SgrII,Einasto,tau,500,0.95,2.54264182043212e-22
850,SgrII,Einasto,tau,1000,0.05,1.6209728091701725e-23
851,SgrII,Einasto,tau,1000,0.32,3.1613407634125986e-23
852,SgrII,Einasto,tau,1000,0.5,4.395148382968482e-23
853,SgrII,Einasto,tau,1000,0.68,7.216688442261368e-23
854,SgrII,Einasto,tau,1000,0.95,3.960643405811137e-22
855,SgrII,Einasto,tau,5000,0.05,3.15544130018048e-23
856,SgrII,Einasto,tau,5000,0.32,6.27174757964305e-23
857,SgrII,Einasto,tau,5000,0.5,9.084311064404574e-23
858,SgrII,Einasto,tau,5000,0.68,1.3846654129765825e-22
859,SgrII,Einasto,tau,5000,0.95,7.608131971713299e-22
860,SgrII,Einasto,tau,10000,0.05,5.397700272634106e-23
861,SgrII,Einasto,tau,10000,0.32,1.088503098469683e-22
862,SgrII,Einasto,tau,10000,0.5,1.603002523300317e-22
863,SgrII,Einasto,tau,10000,0.68,2.6663903712414036e-22
864,SgrII,Einasto,tau,10000,0.95,1.5601081137854856e-21
865,SgrII,Einasto,tau,50000,0.05,2.738476278666478e-22
866,SgrII,Einasto,tau,50000,0.32,5.670366642853791e-22
867,SgrII,Einasto,tau,50000,0.5,8.738001543081668e-22
868,SgrII,Einasto,tau,50000,0.68,1.4919429773876799e-21
869,SgrII,Einasto,tau,50000,0.95,1.3020815587542701e-20
870,SgrII,Einasto,tau,100000,0.05,7.176203614815646e-22
871,SgrII,Einasto,tau,100000,0.32,1.5351910767110665e-21
872,SgrII,Einasto,tau,100000,0.5,2.3371494881935e-21
873,SgrII,Einasto,tau,100000,0.68,3.7437117805013475e-21
874,SgrII,Einasto,tau,100000,0.95,2.8553922087291956e-20
