,name,name2,profile,ch,mass,quantile,sigma_v
90,DraI,UMi,Einasto,mu,100,0.05,8.753478156838082e-25
91,DraI,UMi,Einasto,mu,100,0.32,1.3280281680313353e-24
92,DraI,UMi,Einasto,mu,100,0.5,1.6170614883589852e-24
93,DraI,UMi,Einasto,mu,100,0.68,2.2229480065582573e-24
94,DraI,UMi,Einasto,mu,100,0.95,4.702291952060853e-24
95,DraI,UMi,Einasto,mu,200,0.05,8.065041958027903e-25
96,DraI,UMi,Einasto,mu,200,0.32,1.3397454789573372e-24
97,DraI,UMi,Einasto,mu,200,0.5,1.6219453882797698e-24
98,DraI,UMi,Einasto,mu,200,0.68,2.24384914077769e-24
99,DraI,UMi,Einasto,mu,200,0.95,3.85607511034548e-24
100,DraI,UMi,Einasto,mu,500,0.05,1.0681674263207812e-24
101,DraI,UMi,Einasto,mu,500,0.32,1.6190170584858711e-24
102,DraI,UMi,Einasto,mu,500,0.5,1.9628693045742742e-24
103,DraI,UMi,Einasto,mu,500,0.68,2.7584516554611032e-24
104,DraI,UMi,Einasto,mu,500,0.95,5.178096812136875e-24
105,DraI,UMi,Einasto,mu,1000,0.05,1.2977221555833445e-24
106,DraI,UMi,Einasto,mu,1000,0.32,2.0193550351541237e-24
107,DraI,UMi,Einasto,mu,1000,0.5,2.553455151281981e-24
108,DraI,UMi,Einasto,mu,1000,0.68,3.3328327509322504e-24
109,DraI,UMi,Einasto,mu,1000,0.95,6.537430951613333e-24
110,DraI,UMi,Einasto,mu,5000,0.05,3.03688613160308e-24
111,DraI,UMi,Einasto,mu,5000,0.32,4.9114602892173784e-24
112,DraI,UMi,Einasto,mu,5000,0.5,6.455181003608346e-24
113,DraI,UMi,Einasto,mu,5000,0.68,8.488863595645664e-24
114,DraI,UMi,Einasto,mu,5000,0.95,1.7386553183774958e-23
115,DraI,UMi,Einasto,mu,10000,0.05,6.754550866789976e-24
116,DraI,UMi,Einasto,mu,10000,0.32,1.0789454631154916e-23
117,DraI,UMi,Einasto,mu,10000,0.5,1.184497199512175e-23
118,DraI,UMi,Einasto,mu,10000,0.68,1.515869832044311e-23
119,DraI,UMi,Einasto,mu,10000,0.95,3.3008888686301984e-23
120,DraI,UMi,Einasto,mu,50000,0.05,4.447575805443604e-23
121,DraI,UMi,Einasto,mu,50000,0.32,7.476941477280251e-23
122,DraI,UMi,Einasto,mu,50000,0.5,9.418678253521099e-23
123,DraI,UMi,Einasto,mu,50000,0.68,1.1378393729858482e-22
124,DraI,UMi,Einasto,mu,50000,0.95,2.143112577435926e-22
125,DraI,UMi,Einasto,mu,100000,0.05,1.2718971858052495e-22
126,DraI,UMi,Einasto,mu,100000,0.32,2.0495764006100783e-22
127,DraI,UMi,Einasto,mu,100000,0.5,2.6051428039652743e-22
128,DraI,UMi,Einasto,mu,100000,0.68,3.293540176896823e-22
129,DraI,UMi,Einasto,mu,100000,0.95,6.02096072378471e-22
130,DraI,UMi,Einasto,tau,70,0.05,3.346889000590769e-25
131,DraI,UMi,Einasto,tau,70,0.32,4.767139266212719e-25
132,DraI,UMi,Einasto,tau,70,0.5,5.618475250686737e-25
133,DraI,UMi,Einasto,tau,70,0.68,8.088865514272341e-25
134,DraI,UMi,Einasto,tau,70,0.95,1.5748275633775123e-24
135,DraI,UMi,Einasto,tau,100,0.05,2.4404890007517104e-25
136,DraI,UMi,Einasto,tau,100,0.32,3.398610037127475e-25
137,DraI,UMi,Einasto,tau,100,0.5,4.321014793223086e-25
138,DraI,UMi,Einasto,tau,100,0.68,6.026106953898136e-25
139,DraI,UMi,Einasto,tau,100,0.95,1.3254866898129815e-24
140,DraI,UMi,Einasto,tau,200,0.05,2.0545270081032186e-25
141,DraI,UMi,Einasto,tau,200,0.32,2.9560300290064655e-25
142,DraI,UMi,Einasto,tau,200,0.5,3.4988674673219983e-25
143,DraI,UMi,Einasto,tau,200,0.68,4.939650624812699e-25
144,DraI,UMi,Einasto,tau,200,0.95,9.864456383319393e-25
145,DraI,UMi,Einasto,tau,500,0.05,2.5669348601072584e-25
146,DraI,UMi,Einasto,tau,500,0.32,3.8348541174603024e-25
147,DraI,UMi,Einasto,tau,500,0.5,4.589155795159796e-25
148,DraI,UMi,Einasto,tau,500,0.68,6.277530114469394e-25
149,DraI,UMi,Einasto,tau,500,0.95,1.3847705536676367e-24
150,DraI,UMi,Einasto,tau,1000,0.05,2.995123663605899e-25
151,DraI,UMi,Einasto,tau,1000,0.32,4.886514004201888e-25
152,DraI,UMi,Einasto,tau,1000,0.5,6.102258395446577e-25
153,DraI,UMi,Einasto,tau,1000,0.68,8.44189932365266e-25
154,DraI,UMi,Einasto,tau,1000,0.95,1.6489873931107753e-24
155,DraI,UMi,Einasto,tau,5000,0.05,8.215354845117413e-25
156,DraI,UMi,Einasto,tau,5000,0.32,1.2616937819739263e-24
157,DraI,UMi,Einasto,tau,5000,0.5,1.5810083821586572e-24
158,DraI,UMi,Einasto,tau,5000,0.68,2.0773447464528733e-24
159,DraI,UMi,Einasto,tau,5000,0.95,4.036327740307957e-24
160,DraI,UMi,Einasto,tau,10000,0.05,1.406647045244866e-24
161,DraI,UMi,Einasto,tau,10000,0.32,2.0946076931906507e-24
162,DraI,UMi,Einasto,tau,10000,0.5,2.5950575304739056e-24
163,DraI,UMi,Einasto,tau,10000,0.68,3.354758574002251e-24
164,DraI,UMi,Einasto,tau,10000,0.95,6.60825485280727e-24
