,name,profile,ch,mass,quantile,sigma_v
961,UMaII,Einasto,mu,70,0.32,1.1470648396550896e-23
962,UMaII,Einasto,mu,70,0.5,1.493004663810442e-23
963,UMaII,Einasto,mu,70,0.68,2.0885478244360196e-23
964,UMaII,Einasto,mu,70,0.95,4.907346544859743e-23
965,UMaII,Einasto,mu,100,0.05,5.6395671579994736e-24
966,UMaII,Einasto,mu,100,0.32,1.0047054408957998e-23
967,UMaII,Einasto,mu,100,0.5,1.339002744697903e-23
968,UMaII,Einasto,mu,100,0.68,1.8212670582314854e-23
969,UMaII,Einasto,mu,100,0.95,4.548227627548394e-23
970,UMaII,Einasto,mu,200,0.05,5.292327694519683e-24
971,UMaII,Einasto,mu,200,0.32,9.047858001847096e-24
972,UMaII,Einasto,mu,200,0.5,1.2494337748183843e-23
973,UMaII,Einasto,mu,200,0.68,1.6562279386882663e-23
974,UMaII,Einasto,mu,200,0.95,4.0041603995503924e-23
975,UMaII,Einasto,mu,500,0.05,6.869261457595044e-24
976,UMaII,Einasto,mu,500,0.32,1.2348829772173542e-23
977,UMaII,Einasto,mu,500,0.5,1.6543070802579505e-23
978,UMaII,Einasto,mu,500,0.68,2.2764457625285265e-23
979,UMaII,Einasto,mu,500,0.95,5.241497816599881e-23
980,UMaII,Einasto,mu,1000,0.05,8.678431486554218e-24
981,UMaII,Einasto,mu,1000,0.32,1.6125021612012082e-23
982,UMaII,Einasto,mu,1000,0.5,2.1161579088843925e-23
983,UMaII,Einasto,mu,1000,0.68,2.961215125475068e-23
984,UMaII,Einasto,mu,1000,0.95,6.155365926071929e-23
985,UMaII,Einasto,mu,5000,0.05,2.066121328778219e-23
986,UMaII,Einasto,mu,5000,0.32,3.739552507173597e-23
987,UMaII,Einasto,mu,5000,0.5,5.0701624882707473e-23
988,UMaII,Einasto,mu,5000,0.68,6.660647753879583e-23
989,UMaII,Einasto,mu,5000,0.95,1.6250150766914545e-22
990,UMaII,Einasto,mu,10000,0.05,3.976873347933938e-23
991,UMaII,Einasto,mu,10000,0.32,6.680137005398644e-23
992,UMaII,Einasto,mu,10000,0.5,9.128272239110588e-23
993,UMaII,Einasto,mu,10000,0.68,1.2400913884154135e-22
994,UMaII,Einasto,mu,10000,0.95,3.091581617895629e-22
995,UMaII,Einasto,mu,50000,0.05,2.6683261379162085e-22
996,UMaII,Einasto,mu,50000,0.32,4.849937554557785e-22
997,UMaII,Einasto,mu,50000,0.5,6.533095889847663e-22
