,name,profile,ch,mass,quantile,sigma_v
102,CBe,Einasto,mu,500,0.5,2.5814030460509036e-23
103,CBe,Einasto,mu,500,0.68,4.116250398282348e-23
104,CBe,Einasto,mu,500,0.95,1.8352499381971963e-22
105,CBe,Einasto,mu,1000,0.05,1.1159419543093305e-23
106,CBe,Einasto,mu,1000,0.32,2.162888558607603e-23
107,CBe,Einasto,mu,1000,0.5,3.1877206134163293e-23
108,CBe,Einasto,mu,1000,0.68,5.262834595393275e-23
109,CBe,Einasto,mu,1000,0.95,2.3034576501509943e-22
110,CBe,Einasto,mu,5000,0.05,2.3542420569656925e-23
111,CBe,Einasto,mu,5000,0.32,4.961866070618588e-23
112,CBe,Einasto,mu,5000,0.5,7.461248529375994e-23
113,CBe,Einasto,mu,5000,0.68,1.1369390442621652e-22
114,CBe,Einasto,mu,5000,0.95,3.935959407195413e-22
115,CBe,Einasto,mu,10000,0.05,4.6915254616467165e-23
116,CBe,Einasto,mu,10000,0.32,9.928566750933925e-23
117,CBe,Einasto,mu,10000,0.5,1.4476040704512547e-22
118,CBe,Einasto,mu,10000,0.68,2.1667556598795277e-22
119,CBe,Einasto,mu,10000,0.95,9.982050364382192e-22
120,CBe,Einasto,mu,50000,0.05,3.9281473840962304e-22
121,CBe,Einasto,mu,50000,0.32,7.181662135866215e-22
122,CBe,Einasto,mu,50000,0.5,1.1264134035571232e-21
123,CBe,Einasto,mu,50000,0.68,1.885764768489989e-21
124,CBe,Einasto,mu,50000,0.95,8.766746666503466e-21
125,CBe,Einasto,mu,100000,0.05,1.101573043803644e-21
126,CBe,Einasto,mu,100000,0.32,2.1033068936519796e-21
127,CBe,Einasto,mu,100000,0.5,3.454856883604028e-21
128,CBe,Einasto,mu,100000,0.68,5.451899785685765e-21
129,CBe,Einasto,mu,100000,0.95,2.2843218053419264e-20
130,CBe,Einasto,tau,70,0.05,2.8626124762856447e-24
131,CBe,Einasto,tau,70,0.32,5.182488874557813e-24
132,CBe,Einasto,tau,70,0.5,7.662048183275395e-24
133,CBe,Einasto,tau,70,0.68,1.319139713582401e-23
134,CBe,Einasto,tau,70,0.95,5.354322990108003e-23
135,CBe,Einasto,tau,100,0.05,2.0631699874341656e-24
136,CBe,Einasto,tau,100,0.32,3.772905274018232e-24
137,CBe,Einasto,tau,100,0.5,5.437909854473708e-24
138,CBe,Einasto,tau,100,0.68,8.172248192849919e-24
139,CBe,Einasto,tau,100,0.95,3.9296675968519866e-23
140,CBe,Einasto,tau,200,0.05,1.5027846228071198e-24
141,CBe,Einasto,tau,200,0.32,3.1801451043685696e-24
142,CBe,Einasto,tau,200,0.5,4.5055299209527506e-24
143,CBe,Einasto,tau,200,0.68,7.174782514766746e-24
144,CBe,Einasto,tau,200,0.95,2.745889030807395e-23
145,CBe,Einasto,tau,500,0.05,2.0911157115070216e-24
146,CBe,Einasto,tau,500,0.32,4.300309316937291e-24
147,CBe,Einasto,tau,500,0.5,6.200468177697656e-24
148,CBe,Einasto,tau,500,0.68,9.166970870850428e-24
149,CBe,Einasto,tau,500,0.95,4.090683672373235e-23
150,CBe,Einasto,tau,1000,0.05,2.4732264289317898e-24
151,CBe,Einasto,tau,1000,0.32,5.536456677215578e-24
152,CBe,Einasto,tau,1000,0.5,8.153692736522984e-24
153,CBe,Einasto,tau,1000,0.68,1.298539531474222e-23
154,CBe,Einasto,tau,1000,0.95,5.691579524416089e-23
