,name,name2,profile,ch,mass,quantile,tau
79,DraI,UMi,Einasto,b,50000,0.95,5.452901990059259e+27
80,DraI,UMi,Einasto,b,100000,0.05,1.08787422432833e+27
81,DraI,UMi,Einasto,b,100000,0.32,2.184556991303464e+27
82,DraI,UMi,Einasto,b,100000,0.5,2.81853441923982e+27
83,DraI,UMi,Einasto,b,100000,0.68,3.6636926657071095e+27
84,DraI,UMi,Einasto,b,100000,0.95,6.397656167922636e+27
85,DraI,UMi,Einasto,mu,70,0.05,5.999658492032594e+24
86,DraI,UMi,Einasto,mu,70,0.32,1.1564426976797515e+25
87,DraI,UMi,Einasto,mu,70,0.5,1.5059675457782587e+25
88,DraI,UMi,Einasto,mu,70,0.68,1.9377296896324373e+25
89,DraI,UMi,Einasto,mu,70,0.95,3.4689015100669707e+25
90,DraI,UMi,Einasto,mu,100,0.05,1.0954779994054688e+25
91,DraI,UMi,Einasto,mu,100,0.32,2.1705904776962713e+25
92,DraI,UMi,Einasto,mu,100,0.5,2.8013410755415543e+25
93,DraI,UMi,Einasto,mu,100,0.68,3.617593274705908e+25
94,DraI,UMi,Einasto,mu,100,0.95,6.354581706839884e+25
95,DraI,UMi,Einasto,mu,200,0.05,2.7768853260999134e+25
96,DraI,UMi,Einasto,mu,200,0.32,5.421836328988376e+25
97,DraI,UMi,Einasto,mu,200,0.5,7.20616922213362e+25
98,DraI,UMi,Einasto,mu,200,0.68,9.207618788872548e+25
99,DraI,UMi,Einasto,mu,200,0.95,1.6232834493158216e+26
100,DraI,UMi,Einasto,mu,500,0.05,5.18187774050934e+25
101,DraI,UMi,Einasto,mu,500,0.32,9.896067218024883e+25
102,DraI,UMi,Einasto,mu,500,0.5,1.3098579071658638e+26
103,DraI,UMi,Einasto,mu,500,0.68,1.677523222431276e+26
104,DraI,UMi,Einasto,mu,500,0.95,2.9201241299822038e+26
105,DraI,UMi,Einasto,mu,1000,0.05,8.837645840975902e+25
106,DraI,UMi,Einasto,mu,1000,0.32,1.6895984943892097e+26
107,DraI,UMi,Einasto,mu,1000,0.5,2.2776149117259607e+26
108,DraI,UMi,Einasto,mu,1000,0.68,2.9302208914502284e+26
109,DraI,UMi,Einasto,mu,1000,0.95,5.171042190050534e+26
110,DraI,UMi,Einasto,mu,5000,0.05,2.1381884923028196e+26
111,DraI,UMi,Einasto,mu,5000,0.32,4.1811291675762596e+26
112,DraI,UMi,Einasto,mu,5000,0.5,5.3415558616776544e+26
113,DraI,UMi,Einasto,mu,5000,0.68,6.822291501165416e+26
114,DraI,UMi,Einasto,mu,5000,0.95,1.2102001712540507e+27
115,DraI,UMi,Einasto,mu,10000,0.05,2.2702941699861388e+26
116,DraI,UMi,Einasto,mu,10000,0.32,4.453049951373732e+26
117,DraI,UMi,Einasto,mu,10000,0.5,5.8005919214132e+26
118,DraI,UMi,Einasto,mu,10000,0.68,7.409582040290429e+26
119,DraI,UMi,Einasto,mu,10000,0.95,1.287790332047158e+27
120,DraI,UMi,Einasto,mu,50000,0.05,1.617244700094931e+26
121,DraI,UMi,Einasto,mu,50000,0.32,3.2387280476338236e+26
122,DraI,UMi,Einasto,mu,50000,0.5,4.261670284682818e+26
123,DraI,UMi,Einasto,mu,50000,0.68,5.531139955800541e+26
124,DraI,UMi,Einasto,mu,50000,0.95,9.210003596283979e+26
125,DraI,UMi,Einasto,mu,100000,0.05,1.135278468092143e+26
126,DraI,UMi,Einasto,mu,100000,0.32,2.2382622463170165e+26
127,DraI,UMi,Einasto,mu,100000,0.5,2.95796041577802e+26
128,DraI,UMi,Einasto,mu,100000,0.68,3.790489413462765e+26
129,DraI,UMi,Einasto,mu,100000,0.95,6.404108391520248e+26
130,DraI,UMi,Einasto,tau,70,0.05,1.8282639205796288e+25
131,DraI,UMi,Einasto,tau,70,0.32,3.3471267217701177e+25
132,DraI,UMi,Einasto,tau,70,0.5,4.433728729786908e+25
133,DraI,UMi,Einasto,tau,70,0.68,5.716384959616619e+25
134,DraI,UMi,Einasto,tau,70,0.95,9.991072514050816e+25
135,DraI,UMi,Einasto,tau,100,0.05,3.269883961215733e+25
136,DraI,UMi,Einasto,tau,100,0.32,5.835932228340274e+25
137,DraI,UMi,Einasto,tau,100,0.5,7.638828832561869e+25
138,DraI,UMi,Einasto,tau,100,0.68,9.841608956348688e+25
139,DraI,UMi,Einasto,tau,100,0.95,1.7305605434818006e+26
140,DraI,UMi,Einasto,tau,200,0.05,9.041393887856032e+25
141,DraI,UMi,Einasto,tau,200,0.32,1.789579278840417e+26
142,DraI,UMi,Einasto,tau,200,0.5,2.3382678963557427e+26
143,DraI,UMi,Einasto,tau,200,0.68,2.967106438437754e+26
144,DraI,UMi,Einasto,tau,200,0.95,5.1523088629775514e+26
145,DraI,UMi,Einasto,tau,500,0.05,1.930919220019607e+26
146,DraI,UMi,Einasto,tau,500,0.32,3.880418292551791e+26
147,DraI,UMi,Einasto,tau,500,0.5,5.068083319845861e+26
148,DraI,UMi,Einasto,tau,500,0.68,6.557662046634954e+26
149,DraI,UMi,Einasto,tau,500,0.95,1.1247443038942794e+27
150,DraI,UMi,Einasto,tau,1000,0.05,3.251456346583678e+26
151,DraI,UMi,Einasto,tau,1000,0.32,6.0961746372873075e+26
152,DraI,UMi,Einasto,tau,1000,0.5,7.893966249108884e+26
153,DraI,UMi,Einasto,tau,1000,0.68,1.0232335619784928e+27
154,DraI,UMi,Einasto,tau,1000,0.95,1.7572930992896552e+27
155,DraI,UMi,Einasto,tau,5000,0.05,8.048993149122326e+26
156,DraI,UMi,Einasto,tau,5000,0.32,1.6433911394445148e+27
157,DraI,UMi,Einasto,tau,5000,0.5,2.121693486946075e+27
158,DraI,UMi,Einasto,tau,5000,0.68,2.7902544071940976e+27
159,DraI,UMi,Einasto,tau,5000,0.95,4.740001519079973e+27
160,DraI,UMi,Einasto,tau,10000,0.05,1.0398662586551983e+27
161,DraI,UMi,Einasto,tau,10000,0.32,2.0827692851278848e+27
