,src1,src2,profile,ch,mass,quantile,tau
81,UMi,CBe,Burkert,b,50000,0.32,6.209658795033606e+27
82,UMi,CBe,Burkert,b,50000,0.5,6.57269378875775e+27
83,UMi,CBe,Burkert,b,50000,0.68,6.950613599862142e+27
84,UMi,CBe,Burkert,b,50000,0.95,7.576259089522611e+27
85,UMi,CBe,Burkert,b,100000,0.05,5.544273166378003e+27
86,UMi,CBe,Burkert,b,100000,0.32,6.592374056745488e+27
87,UMi,CBe,Burkert,b,100000,0.5,6.966756237623946e+27
88,UMi,CBe,Burkert,b,100000,0.68,7.308140592529523e+27
89,UMi,CBe,Burkert,b,100000,0.95,7.871489528600329e+27
90,UMi,CBe,Burkert,mu,70,0.05,1.151603020774307e+26
91,UMi,CBe,Burkert,mu,70,0.32,1.358581092646696e+26
92,UMi,CBe,Burkert,mu,70,0.5,1.502574940350207e+26
93,UMi,CBe,Burkert,mu,70,0.68,1.6502698939256173e+26
94,UMi,CBe,Burkert,mu,70,0.95,2.183770768633221e+26
95,UMi,CBe,Burkert,mu,100,0.05,1.7837412289517002e+26
96,UMi,CBe,Burkert,mu,100,0.32,2.12319474441116e+26
97,UMi,CBe,Burkert,mu,100,0.5,2.353221898627527e+26
98,UMi,CBe,Burkert,mu,100,0.68,2.634637911478517e+26
99,UMi,CBe,Burkert,mu,100,0.95,3.502748913085114e+26
100,UMi,CBe,Burkert,mu,200,0.05,3.139167623691907e+26
101,UMi,CBe,Burkert,mu,200,0.32,3.848823811396117e+26
102,UMi,CBe,Burkert,mu,200,0.5,4.358526381623058e+26
103,UMi,CBe,Burkert,mu,200,0.68,4.921990074235492e+26
104,UMi,CBe,Burkert,mu,200,0.95,6.728546469836054e+26
105,UMi,CBe,Burkert,mu,500,0.05,5.58677920727087e+26
106,UMi,CBe,Burkert,mu,500,0.32,6.762516015080234e+26
107,UMi,CBe,Burkert,mu,500,0.5,7.572453519008993e+26
108,UMi,CBe,Burkert,mu,500,0.68,8.511311619075451e+26
109,UMi,CBe,Burkert,mu,500,0.95,1.1647399931052788e+27
110,UMi,CBe,Burkert,mu,1000,0.05,7.7141923774701e+26
111,UMi,CBe,Burkert,mu,1000,0.32,9.601631401743244e+26
112,UMi,CBe,Burkert,mu,1000,0.5,1.0837589524334164e+27
113,UMi,CBe,Burkert,mu,1000,0.68,1.251031779195121e+27
114,UMi,CBe,Burkert,mu,1000,0.95,1.7638872928584896e+27
115,UMi,CBe,Burkert,mu,5000,0.05,1.497638280312117e+27
116,UMi,CBe,Burkert,mu,5000,0.32,1.9892439406141355e+27
117,UMi,CBe,Burkert,mu,5000,0.5,2.29005882586964e+27
118,UMi,CBe,Burkert,mu,5000,0.68,2.54452240369962e+27
119,UMi,CBe,Burkert,mu,5000,0.95,3.2997515985203665e+27
120,UMi,CBe,Burkert,mu,10000,0.05,1.4806024376115714e+27
121,UMi,CBe,Burkert,mu,10000,0.32,2.0214988061365208e+27
122,UMi,CBe,Burkert,mu,10000,0.5,2.2949486175409384e+27
123,UMi,CBe,Burkert,mu,10000,0.68,2.546907370773894e+27
124,UMi,CBe,Burkert,mu,10000,0.95,3.292160218849533e+27
125,UMi,CBe,Burkert,mu,50000,0.05,9.000181136919305e+26
126,UMi,CBe,Burkert,mu,50000,0.32,1.1920614519386888e+27
127,UMi,CBe,Burkert,mu,50000,0.5,1.3872950828774622e+27
128,UMi,CBe,Burkert,mu,50000,0.68,1.6319204907842012e+27
129,UMi,CBe,Burkert,mu,50000,0.95,2.3768504198643929e+27
130,UMi,CBe,Burkert,mu,100000,0.05,5.967978594791657e+26
131,UMi,CBe,Burkert,mu,100000,0.32,8.418705398482657e+26
132,UMi,CBe,Burkert,mu,100000,0.5,9.68042757380103e+26
133,UMi,CBe,Burkert,mu,100000,0.68,1.117746662419108e+27
134,UMi,CBe,Burkert,mu,100000,0.95,1.609110153665754e+27
135,UMi,CBe,Burkert,tau,70,0.05,3.143784517042366e+26
136,UMi,CBe,Burkert,tau,70,0.32,3.781779682398187e+26
137,UMi,CBe,Burkert,tau,70,0.5,4.1227235452594784e+26
138,UMi,CBe,Burkert,tau,70,0.68,4.591238035766388e+26
139,UMi,CBe,Burkert,tau,70,0.95,5.986596711650759e+26
140,UMi,CBe,Burkert,tau,100,0.05,6.107967408010595e+26
141,UMi,CBe,Burkert,tau,100,0.32,7.43511738780091e+26
142,UMi,CBe,Burkert,tau,100,0.5,8.061422832924282e+26
143,UMi,CBe,Burkert,tau,100,0.68,8.77728735797092e+26
144,UMi,CBe,Burkert,tau,100,0.95,1.1086380495810755e+27
145,UMi,CBe,Burkert,tau,200,0.05,1.278971895738402e+27
146,UMi,CBe,Burkert,tau,200,0.32,1.5816489123563012e+27
147,UMi,CBe,Burkert,tau,200,0.5,1.747411614761588e+27
148,UMi,CBe,Burkert,tau,200,0.68,1.963622348354648e+27
149,UMi,CBe,Burkert,tau,200,0.95,2.4632393251505245e+27
150,UMi,CBe,Burkert,tau,500,0.05,2.167060943988874e+27
151,UMi,CBe,Burkert,tau,500,0.32,2.597894891231368e+27
152,UMi,CBe,Burkert,tau,500,0.5,2.8125064132197405e+27
153,UMi,CBe,Burkert,tau,500,0.68,3.050997637784133e+27
154,UMi,CBe,Burkert,tau,500,0.95,3.756937011742455e+27
155,UMi,CBe,Burkert,tau,1000,0.05,2.8173307906545334e+27
156,UMi,CBe,Burkert,tau,1000,0.32,3.3424520179881724e+27
157,UMi,CBe,Burkert,tau,1000,0.5,3.644408143185274e+27
158,UMi,CBe,Burkert,tau,1000,0.68,3.965679712362918e+27
159,UMi,CBe,Burkert,tau,1000,0.95,4.776513818970628e+27
160,UMi,CBe,Burkert,tau,5000,0.05,4.587109978250333e+27
161,UMi,CBe,Burkert,tau,5000,0.32,5.682128236177176e+27
162,UMi,CBe,Burkert,tau,5000,0.5,6.121135015484e+27
163,UMi,CBe,Burkert,tau,5000,0.68,6.519501011569807e+27
164,UMi,CBe,Burkert,tau,5000,0.95,7.215253307489851e+27
165,UMi,CBe,Burkert,tau,10000,0.05,5.215665405197429e+27
166,UMi,CBe,Burkert,tau,10000,0.32,6.368253514737499e+27
167,UMi,CBe,Burkert,tau,10000,0.5,6.765026188819824e+27
168,UMi,CBe,Burkert,tau,10000,0.68,7.102292065662611e+27
169,UMi,CBe,Burkert,tau,10000,0.95,7.674600713010908e+27
170,UMi,CBe,Burkert,tau,50000,0.05,4.031643213774222e+27
171,UMi,CBe,Burkert,tau,50000,0.32,5.072317764973925e+27
172,UMi,CBe,Burkert,tau,50000,0.5,5.504862514108261e+27
173,UMi,CBe,Burkert,tau,50000,0.68,5.891035838820953e+27
174,UMi,CBe,Burkert,tau,50000,0.95,6.810024132917849e+27
175,UMi,CBe,Burkert,tau,100000,0.05,3.0262895819358235e+27
176,UMi,CBe,Burkert,tau,100000,0.32,3.865368403538375e+27
177,UMi,CBe,Burkert,tau,100000,0.5,4.2393539267835945e+27
178,UMi,CBe,Burkert,tau,100000,0.68,4.671038383958965e+27
179,UMi,CBe,Burkert,tau,100000,0.95,5.712031021216636e+27
180,UMi,CBe,Einasto,W,70,0.05,
181,UMi,CBe,Einasto,W,70,0.32,
182,UMi,CBe,Einasto,W,70,0.5,
183,UMi,CBe,Einasto,W,70,0.68,
184,UMi,CBe,Einasto,W,70,0.95,
185,UMi,CBe,Einasto,W,100,0.05,9.12912987603632e+25
186,UMi,CBe,Einasto,W,100,0.32,1.0599617420018782e+26
187,UMi,CBe,Einasto,W,100,0.5,1.1461619453525934e+26
188,UMi,CBe,Einasto,W,100,0.68,1.2786111368435689e+26
189,UMi,CBe,Einasto,W,100,0.95,1.667800549126455e+26
190,UMi,CBe,Einasto,W,200,0.05,5.217378090093406e+26
191,UMi,CBe,Einasto,W,200,0.32,6.293763705848646e+26
192,UMi,CBe,Einasto,W,200,0.5,6.854642086638882e+26
193,UMi,CBe,Einasto,W,200,0.68,7.563327358487675e+26
194,UMi,CBe,Einasto,W,200,0.95,9.676482180433412e+26
195,UMi,CBe,Einasto,W,500,0.05,1.5639257099553144e+27
196,UMi,CBe,Einasto,W,500,0.32,1.8584152225661317e+27
197,UMi,CBe,Einasto,W,500,0.5,2.0337609938860897e+27
