,name,name2,profile,ch,mass,quantile,sigma_v
111,CBe,Wil1,Einasto,mu,5000,0.32,7.361543186884514e-24
112,CBe,Wil1,Einasto,mu,5000,0.5,1.0648933092643133e-23
113,CBe,Wil1,Einasto,mu,5000,0.68,1.5288991900208568e-23
114,CBe,Wil1,Einasto,mu,5000,0.95,4.6374313035406993e-23
115,CBe,Wil1,Einasto,mu,10000,0.05,8.201580077639855e-24
116,CBe,Wil1,Einasto,mu,10000,0.32,1.4088279182755417e-23
117,CBe,Wil1,Einasto,mu,10000,0.5,1.8025989163157397e-23
118,CBe,Wil1,Einasto,mu,10000,0.68,2.579338510048864e-23
119,CBe,Wil1,Einasto,mu,10000,0.95,1.1750620462282602e-22
120,CBe,Wil1,Einasto,mu,50000,0.05,6.808023209587342e-23
121,CBe,Wil1,Einasto,mu,50000,0.32,1.1063639461069604e-22
122,CBe,Wil1,Einasto,mu,50000,0.5,1.6008862370171068e-22
123,CBe,Wil1,Einasto,mu,50000,0.68,2.335025317431389e-22
124,CBe,Wil1,Einasto,mu,50000,0.95,8.888156907264974e-22
125,CBe,Wil1,Einasto,mu,100000,0.05,2.0082132341627531e-22
126,CBe,Wil1,Einasto,mu,100000,0.32,3.3347581890090908e-22
127,CBe,Wil1,Einasto,mu,100000,0.5,4.633996991110628e-22
128,CBe,Wil1,Einasto,mu,100000,0.68,6.851430092678707e-22
129,CBe,Wil1,Einasto,mu,100000,0.95,3.3843984758689937e-21
130,CBe,Wil1,Einasto,tau,70,0.05,4.811335388566449e-25
131,CBe,Wil1,Einasto,tau,70,0.32,7.659530082699716e-25
132,CBe,Wil1,Einasto,tau,70,0.5,9.950568116955188e-25
133,CBe,Wil1,Einasto,tau,70,0.68,1.4426207503042444e-24
134,CBe,Wil1,Einasto,tau,70,0.95,7.885380066605938e-24
135,CBe,Wil1,Einasto,tau,100,0.05,3.3530975287180087e-25
136,CBe,Wil1,Einasto,tau,100,0.32,5.40292793276421e-25
137,CBe,Wil1,Einasto,tau,100,0.5,7.894167583192088e-25
138,CBe,Wil1,Einasto,tau,100,0.68,1.043533268533129e-24
139,CBe,Wil1,Einasto,tau,100,0.95,4.668307043746784e-24
140,CBe,Wil1,Einasto,tau,200,0.05,2.988901828939066e-25
141,CBe,Wil1,Einasto,tau,200,0.32,4.566242449908432e-25
142,CBe,Wil1,Einasto,tau,200,0.5,5.525721588753526e-25
143,CBe,Wil1,Einasto,tau,200,0.68,8.502913701018391e-25
144,CBe,Wil1,Einasto,tau,200,0.95,1.83459705666836e-24
145,CBe,Wil1,Einasto,tau,500,0.05,3.498798860897887e-25
146,CBe,Wil1,Einasto,tau,500,0.32,5.62936501947416e-25
147,CBe,Wil1,Einasto,tau,500,0.5,7.158005934017884e-25
148,CBe,Wil1,Einasto,tau,500,0.68,8.956320387786935e-25
149,CBe,Wil1,Einasto,tau,500,0.95,3.563221655952387e-24
150,CBe,Wil1,Einasto,tau,1000,0.05,4.682065768626291e-25
151,CBe,Wil1,Einasto,tau,1000,0.32,8.03236300214228e-25
152,CBe,Wil1,Einasto,tau,1000,0.5,1.1168676009176984e-24
153,CBe,Wil1,Einasto,tau,1000,0.68,1.42976274418615e-24
154,CBe,Wil1,Einasto,tau,1000,0.95,7.43086027725498e-24
155,CBe,Wil1,Einasto,tau,5000,0.05,9.438981249784808e-25
156,CBe,Wil1,Einasto,tau,5000,0.32,1.730997169722143e-24
157,CBe,Wil1,Einasto,tau,5000,0.5,2.685862846134137e-24
158,CBe,Wil1,Einasto,tau,5000,0.68,3.732312766581356e-24
159,CBe,Wil1,Einasto,tau,5000,0.95,1.326606006617573e-23
160,CBe,Wil1,Einasto,tau,10000,0.05,1.63314557962497e-24
161,CBe,Wil1,Einasto,tau,10000,0.32,2.920049111294269e-24
162,CBe,Wil1,Einasto,tau,10000,0.5,4.183850247178907e-24
163,CBe,Wil1,Einasto,tau,10000,0.68,5.6731700779539674e-24
164,CBe,Wil1,Einasto,tau,10000,0.95,1.8370471802172252e-23
165,CBe,Wil1,Einasto,tau,50000,0.05,1.1963975049494011e-23
166,CBe,Wil1,Einasto,tau,50000,0.32,2.1918188143137025e-23
167,CBe,Wil1,Einasto,tau,50000,0.5,2.933397709975669e-23
168,CBe,Wil1,Einasto,tau,50000,0.68,4.284433544525178e-23
169,CBe,Wil1,Einasto,tau,50000,0.95,2.2011032614889167e-22
170,CBe,Wil1,Einasto,tau,100000,0.05,3.647192126490292e-23
171,CBe,Wil1,Einasto,tau,100000,0.32,6.152896548259694e-23
172,CBe,Wil1,Einasto,tau,100000,0.5,8.814238158869141e-23
173,CBe,Wil1,Einasto,tau,100000,0.68,1.2382879850188833e-22
174,CBe,Wil1,Einasto,tau,100000,0.95,4.647253771754062e-22
