,name,profile,ch,mass,quantile,sigma_v
439,RetII,Einasto,mu,70,0.95,2.446980449842714e-22
440,RetII,Einasto,mu,100,0.05,7.418163316161542e-24
441,RetII,Einasto,mu,100,0.32,1.584358084800674e-23
442,RetII,Einasto,mu,100,0.5,2.1905447915436213e-23
443,RetII,Einasto,mu,100,0.68,3.2380578063106973e-23
444,RetII,Einasto,mu,100,0.95,1.720259519915213e-22
445,RetII,Einasto,mu,200,0.05,6.413799023944382e-24
446,RetII,Einasto,mu,200,0.32,1.327509880299956e-23
447,RetII,Einasto,mu,200,0.5,1.9217331272178078e-23
448,RetII,Einasto,mu,200,0.68,2.9388497635093457e-23
449,RetII,Einasto,mu,200,0.95,1.568665737861285e-22
450,RetII,Einasto,mu,500,0.05,9.942536442482912e-24
451,RetII,Einasto,mu,500,0.32,1.6668790149359503e-23
452,RetII,Einasto,mu,500,0.5,2.5186465972247033e-23
453,RetII,Einasto,mu,500,0.68,3.788464219309951e-23
454,RetII,Einasto,mu,500,0.95,2.294517163611928e-22
455,RetII,Einasto,mu,1000,0.05,1.186026441677597e-23
456,RetII,Einasto,mu,1000,0.32,2.073776317104844e-23
457,RetII,Einasto,mu,1000,0.5,2.946394847632291e-23
458,RetII,Einasto,mu,1000,0.68,4.444727890327527e-23
459,RetII,Einasto,mu,1000,0.95,2.5672126887699415e-22
460,RetII,Einasto,mu,5000,0.05,2.597092948738603e-23
461,RetII,Einasto,mu,5000,0.32,4.945726171304648e-23
462,RetII,Einasto,mu,5000,0.5,6.956900622281591e-23
463,RetII,Einasto,mu,5000,0.68,1.1851822633184517e-22
464,RetII,Einasto,mu,5000,0.95,3.7823729313096903e-22
465,RetII,Einasto,mu,10000,0.05,4.410847480737963e-23
466,RetII,Einasto,mu,10000,0.32,8.515192196026944e-23
467,RetII,Einasto,mu,10000,0.5,1.2041261427197344e-22
468,RetII,Einasto,mu,10000,0.68,1.774669923676247e-22
469,RetII,Einasto,mu,10000,0.95,9.411137855916019e-22
470,RetII,Einasto,mu,50000,0.05,2.65209216340969e-22
471,RetII,Einasto,mu,50000,0.32,5.468329673077937e-22
472,RetII,Einasto,mu,50000,0.5,7.976629605453984e-22
473,RetII,Einasto,mu,50000,0.68,1.201792157669469e-21
474,RetII,Einasto,mu,50000,0.95,3.389330695570741e-21
475,RetII,Einasto,mu,100000,0.05,7.22049474273231e-22
476,RetII,Einasto,mu,100000,0.32,1.4747948772214468e-21
477,RetII,Einasto,mu,100000,0.5,2.229671164646289e-21
478,RetII,Einasto,mu,100000,0.68,3.034516592370204e-21
479,RetII,Einasto,mu,100000,0.95,2.2964312262751353e-20
480,RetII,Einasto,tau,70,0.05,6.5800153549299224e-24
481,RetII,Einasto,tau,70,0.32,1.3637524909165095e-23
482,RetII,Einasto,tau,70,0.5,1.946339092885763e-23
483,RetII,Einasto,tau,70,0.68,3.082789620411695e-23
484,RetII,Einasto,tau,70,0.95,1.673965052698246e-22
485,RetII,Einasto,tau,100,0.05,3.000094361921457e-24
486,RetII,Einasto,tau,100,0.32,6.049029085139513e-24
487,RetII,Einasto,tau,100,0.5,8.580985292727739e-24
488,RetII,Einasto,tau,100,0.68,1.3674339379494302e-23
489,RetII,Einasto,tau,100,0.95,4.724353768768037e-23
490,RetII,Einasto,tau,200,0.05,1.75002523024638e-24
491,RetII,Einasto,tau,200,0.32,3.2193393232087344e-24
492,RetII,Einasto,tau,200,0.5,4.584525888776222e-24
493,RetII,Einasto,tau,200,0.68,7.206773795745223e-24
494,RetII,Einasto,tau,200,0.95,3.462291130258104e-23
495,RetII,Einasto,tau,500,0.05,2.2149136452726122e-24
496,RetII,Einasto,tau,500,0.32,4.0799601399343105e-24
497,RetII,Einasto,tau,500,0.5,6.157007492521831e-24
498,RetII,Einasto,tau,500,0.68,9.821913963924334e-24
499,RetII,Einasto,tau,500,0.95,3.901250649953976e-23
500,RetII,Einasto,tau,1000,0.05,3.0926792889342716e-24
501,RetII,Einasto,tau,1000,0.32,5.363324527900763e-24
502,RetII,Einasto,tau,1000,0.5,7.675706933037054e-24
503,RetII,Einasto,tau,1000,0.68,1.2652549104462124e-23
504,RetII,Einasto,tau,1000,0.95,5.340826467489534e-23
505,RetII,Einasto,tau,5000,0.05,6.178190094647331e-24
506,RetII,Einasto,tau,5000,0.32,1.1937560654090303e-23
507,RetII,Einasto,tau,5000,0.5,1.668477743853922e-23
508,RetII,Einasto,tau,5000,0.68,2.4660192866231184e-23
509,RetII,Einasto,tau,5000,0.95,1.4913130329773766e-22
510,RetII,Einasto,tau,10000,0.05,1.0215047515632633e-23
511,RetII,Einasto,tau,10000,0.32,1.8443162278112097e-23
512,RetII,Einasto,tau,10000,0.5,2.563943708365788e-23
513,RetII,Einasto,tau,10000,0.68,3.88138762581841e-23
514,RetII,Einasto,tau,10000,0.95,2.563155372334056e-22
515,RetII,Einasto,tau,50000,0.05,4.972134137052822e-23
516,RetII,Einasto,tau,50000,0.32,1.0307998609129483e-22
517,RetII,Einasto,tau,50000,0.5,1.4332144205313267e-22
518,RetII,Einasto,tau,50000,0.68,2.150810003859311e-22
519,RetII,Einasto,tau,50000,0.95,7.249483174238626e-22
520,RetII,Einasto,tau,100000,0.05,1.3148202543166864e-22
521,RetII,Einasto,tau,100000,0.32,2.661712728221389e-22
522,RetII,Einasto,tau,100000,0.5,3.663416363959378e-22
523,RetII,Einasto,tau,100000,0.68,5.536077600654569e-22
524,RetII,Einasto,tau,100000,0.95,2.2955973604147283e-21
